RunID,User,Problem,Result,Memory,Time,Code Length,Submit Time
6676,8e21dfee8596cce54d231e84a3b7f173,A,Accepted,7432,272,849 B,2018/5/17 2:19
6675,35a6c45ca1db5674b2ebcb602ceded50,A,Accepted,7892,288,2028 B,2018/5/17 1:47
6674,8e21dfee8596cce54d231e84a3b7f173,A,Runtime Error,7344,144,869 B,2018/5/17 0:52
6673,9b307c918011d9bd353a84bd3946c692,D,Accepted,8296,276,1078 B,2018/5/17 0:17
6672,c65b9e9d8f8951428629246008dd7622,G,Accepted,10552,3320,599 B,2018/5/17 0:06
6671,c65b9e9d8f8951428629246008dd7622,G,Time Limit Exceed,10536,4000,603 B,2018/5/17 0:05
6670,9b307c918011d9bd353a84bd3946c692,C,Accepted,8292,1532,977 B,2018/5/17 0:05
6669,b17782be90ec2190dfaf89d54bebe498,G,*Accepted6243(97%),11056,3596,684 B,2018/5/17 0:05
6668,9b307c918011d9bd353a84bd3946c692,C,Runtime Error,7356,136,977 B,2018/5/17 0:04
6667,b17782be90ec2190dfaf89d54bebe498,G,Runtime Error,6676,108,715 B,2018/5/17 0:04
6666,b17782be90ec2190dfaf89d54bebe498,G,*Accepted6243(97%),10444,3408,684 B,2018/5/17 0:00
6665,b17782be90ec2190dfaf89d54bebe498,G,Time Limit Exceed,10564,4000,686 B,2018/5/16 23:58
6664,49f250b1007da3c54876456d36f8b054,F,Accepted,13916,2016,5443 B,2018/5/16 23:56
6663,44afc80df0c0f209841afdcd2525d096,F,Accepted,14732,2404,2562 B,2018/5/16 23:27
6662,44afc80df0c0f209841afdcd2525d096,F,Runtime Error,10784,228,2558 B,2018/5/16 23:26
6661,9b307c918011d9bd353a84bd3946c692,G,Time Limit Exceed,7396,4000,489 B,2018/5/16 22:52
6660,f9e9fa8cfca0d84757eee5094bdad8bb,E,Accepted,8284,812,2243 B,2018/5/16 22:51
6659,9b307c918011d9bd353a84bd3946c692,G,Time Limit Exceed,7668,4000,350 B,2018/5/16 22:45
6658,12296ba3e03a762493c3fe4ac0b58278,F,Accepted,13384,1948,2617 B,2018/5/16 22:37
6657,9b307c918011d9bd353a84bd3946c692,G,Wrong Answer,8324,3572,733 B,2018/5/16 22:32
6656,578e6cb2865f1056088aae3d57430739,G,Time Limit Exceed,29936,4000,885 B,2018/5/16 22:28
6655,9b307c918011d9bd353a84bd3946c692,C,Runtime Error,8828,212,573 B,2018/5/16 22:20
6654,578e6cb2865f1056088aae3d57430739,G,Time Limit Exceed,13640,4000,1330 B,2018/5/16 22:16
6653,9b307c918011d9bd353a84bd3946c692,C,Runtime Error,8732,204,573 B,2018/5/16 22:15
6652,9b307c918011d9bd353a84bd3946c692,C,Runtime Error,8828,220,567 B,2018/5/16 22:14
6651,9b307c918011d9bd353a84bd3946c692,C,Compile Error,0,0,567 B,2018/5/16 22:14
6650,9b307c918011d9bd353a84bd3946c692,C,Compile Error,0,0,567 B,2018/5/16 22:11
6649,578e6cb2865f1056088aae3d57430739,G,Wrong Answer,8352,164,1205 B,2018/5/16 22:04
6648,578e6cb2865f1056088aae3d57430739,G,Wrong Answer,7424,164,806 B,2018/5/16 21:56
6647,18d5f25dcfbf7d3fb351432e5f43b71c,G,Time Limit Exceed,7880,4000,3033 B,2018/5/16 21:46
6646,578e6cb2865f1056088aae3d57430739,G,Time Limit Exceed,7628,4000,713 B,2018/5/16 21:35
6645,578e6cb2865f1056088aae3d57430739,G,Wrong Answer,8280,3656,688 B,2018/5/16 21:33
6644,bcc9cc0c8889a34e9bcf5afaaed0e07a,E,Wrong Answer,8248,292,4273 B,2018/5/16 20:38
6643,578e6cb2865f1056088aae3d57430739,D,Accepted,8208,292,1398 B,2018/5/16 20:35
6642,bcc9cc0c8889a34e9bcf5afaaed0e07a,E,Runtime Error,7424,680,4223 B,2018/5/16 20:14
6639,578e6cb2865f1056088aae3d57430739,D,Time Limit Exceed,7440,2000,1223 B,2018/5/16 20:11
6638,b17782be90ec2190dfaf89d54bebe498,G,Time Limit Exceed,17924,4000,628 B,2018/5/16 20:09
6637,578e6cb2865f1056088aae3d57430739,D,Wrong Answer,8248,360,1145 B,2018/5/16 20:05
6636,b17782be90ec2190dfaf89d54bebe498,G,Time Limit Exceed,13672,4000,670 B,2018/5/16 19:58
6635,49f250b1007da3c54876456d36f8b054,F,Time Limit Exceed,22208,3000,5528 B,2018/5/16 19:55
6634,5780a2c3e2eeda2b73215dd6b5d491f7,A,*Accepted6368(100%),7868,288,1097 B,2018/5/16 19:53
6632,caef61cc3a29d513090a61d00707bbe4,G,*Accepted6337(96%),8532,3952,590 B,2018/5/16 19:23
6631,caef61cc3a29d513090a61d00707bbe4,G,Time Limit Exceed,8516,4000,660 B,2018/5/16 19:22
6629,caef61cc3a29d513090a61d00707bbe4,G,Time Limit Exceed,10236,4000,777 B,2018/5/16 19:12
6628,12b6c1d2e9c41954ab7770643187a607,D,Accepted,8264,328,1444 B,2018/5/16 19:09
6627,bcc9cc0c8889a34e9bcf5afaaed0e07a,E,Wrong Answer,8268,292,3762 B,2018/5/16 19:01
6626,312b0a002d423b6c24b9bdaa932ac419,G,Accepted,10452,3648,547 B,2018/5/16 18:52
6625,bcc9cc0c8889a34e9bcf5afaaed0e07a,E,Wrong Answer,7448,276,3849 B,2018/5/16 18:40
6624,12b6c1d2e9c41954ab7770643187a607,A,Accepted,7744,312,1407 B,2018/5/16 18:39
6623,0d80656d1077c3cc4bc9067182c86bbc,F,Accepted,13260,2164,2018 B,2018/5/16 18:10
6622,0d80656d1077c3cc4bc9067182c86bbc,F,Time Limit Exceed,16348,3000,2019 B,2018/5/16 18:06
6621,18d5f25dcfbf7d3fb351432e5f43b71c,D,*Accepted5712(100%),8284,308,1849 B,2018/5/16 18:04
6620,0d80656d1077c3cc4bc9067182c86bbc,F,Time Limit Exceed,15224,3000,2014 B,2018/5/16 18:02
6619,bcc9cc0c8889a34e9bcf5afaaed0e07a,E,Wrong Answer,8260,280,3918 B,2018/5/16 17:54
6618,18d5f25dcfbf7d3fb351432e5f43b71c,B,Accepted,16492,2172,1121 B,2018/5/16 17:30
6617,bcc9cc0c8889a34e9bcf5afaaed0e07a,E,Runtime Error,7644,280,3801 B,2018/5/16 17:30
6616,18d5f25dcfbf7d3fb351432e5f43b71c,C,*Accepted5678(96%),8296,1572,1148 B,2018/5/16 17:12
6615,18d5f25dcfbf7d3fb351432e5f43b71c,C,Compile Error,0,0,2736 B,2018/5/16 17:00
6614,212e5e48e1f4969b56cd22bd9a9c0c6e,F,Accepted,14484,2188,2886 B,2018/5/16 16:54
6613,12f408e22e0685da8672a7f8aac22fca,F,Accepted,13720,2064,1991 B,2018/5/16 16:53
6612,212e5e48e1f4969b56cd22bd9a9c0c6e,F,Wrong Answer,14144,480,2878 B,2018/5/16 16:52
6604,200de64788e554264a138265186a0072,D,Accepted,8532,304,1921 B,2018/5/16 16:48
6600,12b6c1d2e9c41954ab7770643187a607,C,Accepted,8276,1628,603 B,2018/5/16 16:38
6599,12296ba3e03a762493c3fe4ac0b58278,E,Accepted,8292,1080,4188 B,2018/5/16 16:31
6598,44afc80df0c0f209841afdcd2525d096,E,Accepted,8272,836,2787 B,2018/5/16 16:27
6597,12b6c1d2e9c41954ab7770643187a607,C,Runtime Error,7344,136,528 B,2018/5/16 16:26
6596,44afc80df0c0f209841afdcd2525d096,E,Runtime Error,8248,680,2783 B,2018/5/16 16:24
6595,212e5e48e1f4969b56cd22bd9a9c0c6e,F,Time Limit Exceed,13916,2000,2797 B,2018/5/16 16:20
6594,12b6c1d2e9c41954ab7770643187a607,B,Accepted,15496,2248,759 B,2018/5/16 16:16
6593,212e5e48e1f4969b56cd22bd9a9c0c6e,F,Time Limit Exceed,13976,2000,2456 B,2018/5/16 16:11
6592,212e5e48e1f4969b56cd22bd9a9c0c6e,F,Time Limit Exceed,14068,2000,2456 B,2018/5/16 16:10
6591,212e5e48e1f4969b56cd22bd9a9c0c6e,F,Wrong Answer,13892,432,2454 B,2018/5/16 16:06
6590,12f408e22e0685da8672a7f8aac22fca,E,Accepted,8304,884,2058 B,2018/5/16 16:05
6589,18d5f25dcfbf7d3fb351432e5f43b71c,C,Wrong Answer,7728,148,524 B,2018/5/16 15:23
6588,0d80656d1077c3cc4bc9067182c86bbc,E,Accepted,7668,864,1902 B,2018/5/16 15:21
6585,0d80656d1077c3cc4bc9067182c86bbc,E,Wrong Answer,8240,280,1911 B,2018/5/16 15:07
6584,50df31414b2239d83af808434616afb5,G,Accepted,8808,3072,1029 B,2018/5/16 15:06
